query_text,plan_hash,execution_time_ms,cpu_usage_ms,memory_usage_kb,rows_processed,actual_cost,buffers_hit,schema_version,release_version,statistics_version,regression_label,severity,execution_timestamp,Execution_Time_Difference,Plan_Difference_Score,CPU_Difference,Memory_Difference
"SELECT customer_id, SUM(total_amount) FROM orders GROUP BY customer_id HAVING SUM(total_amount) > 1000",c87b81d629e54548b29e51fffb7a8820,78.85,68.72,11082.29,938,86.9,3526,v1.2,r2.0.0,s3,No Regression,0,2026-08-08 16:11:38,2.494052608312809,0.0,1.80815476749696,240.13890254901094
"SELECT t1.id, t2.name FROM customers t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",123156b6d5d74924bd380fe963e04857,12.03,7.66,-982.7,33,9.29,62,v1.0,r1.0.0,s2,Minor,1,2026-08-08 16:16:38,6.7615173923081064,0.5332754561408233,4.902009631900324,-151.277582454881
"SELECT t1.id, t2.name FROM employees t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",fb498f526b5643908da5ee9a4db53383,103.94,74.39,10996.19,1008,113.22,4565,v2.0,r1.1.0,s4,No Regression,0,2026-08-08 16:21:38,1.4186174007560677,0.0,1.0284786326806752,238.27322681687704
SELECT COUNT(*) FROM customers WHERE status = 1,76f5608ac8c447549955a83ec6722be8,78.15,53.67,7883.67,726,85.31,2681,v1.0,r1.0.0,s4,No Regression,0,2026-08-08 16:26:38,-1.0354225580124843,0.0,-0.7506674993157785,170.82894075669927
SELECT * FROM orders WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,78c8398c4778461aaaeda7acaa49b4ee,89.02,38.08,7720.31,852,59.81,2428,v1.0,r2.0.0,s1,Minor,1,2026-08-08 16:31:38,29.423768249999053,0.7804446090552517,21.331838254587726,1188.4703700032996
SELECT COUNT(*) FROM payments WHERE category_id = 5,a35f43485eab4ec8bce938980c867a6a,297.2,59.36,6386.65,816,75.71,2124,v1.0,r1.1.0,s4,Critical,3,2026-08-08 16:36:38,200.75771304579703,0.8285083380556169,145.546655569992,983.1657392749219
SELECT * FROM shipments WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,965be5cd4eb5430882f4edc5b4f7c210,90.2,41.49,7498.83,830,67.83,4046,v1.0,r1.2.0,s1,Minor,1,2026-08-08 16:41:38,64.83880268973583,0.7334142526907574,47.00726432613256,1154.37557101876
"SELECT customer_id, SUM(total_amount) FROM shipments GROUP BY customer_id HAVING SUM(total_amount) > 1000",51a80b0384814a2fa3a28190bb831305,12.06,8.9,1977.63,58,12.91,112,v1.0,r1.1.0,s1,No Regression,0,2026-08-08 16:46:38,-1.1667815177096532,0.0,-0.8459009873497595,42.85268638954589
"SELECT id, status, created_at FROM inventory WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",082f6615e9754aea93519b0bc9c6a0da,93.82,72.04,10579.21,1048,86.84,2161,v1.1,r1.2.0,s4,No Regression,0,2026-08-08 16:51:38,-3.7276110262819153,0.0,-2.7024681139767384,229.23780908418038
SELECT COUNT(*) FROM employees WHERE is_deleted = false,339e72da76824e1fba109b18a7770665,9.04,6.47,833.89,44,9.06,67,v1.2,r1.0.0,s2,No Regression,0,2026-08-08 16:56:38,-0.7679750315407494,0.0,-0.5567716214047363,18.069318655854946
SELECT COUNT(*) FROM products WHERE is_deleted = false,3b3cf785a6194cd9b25c1f51c95d199f,7.61,5.84,1856.03,167,7.77,789,v1.0,r1.1.0,s3,No Regression,0,2026-08-08 17:01:38,0.6306749876116585,0.0,0.4572309268017175,40.21777153440676
"SELECT id, status, created_at FROM inventory WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",972df23063eb4764b2eddcd26017c411,98.56,77.57,11267.62,1018,86.87,3600,v1.2,r2.0.0,s3,No Regression,0,2026-08-08 17:06:38,-2.0368040021634854,0.0,-1.4766556465944778,244.15476414525216
"SELECT customer_id, SUM(total_amount) FROM employees GROUP BY customer_id HAVING SUM(total_amount) > 1000",37875741824141b490f5c2386aeb96e8,8.71,5.52,1394.07,176,7.42,865,v1.1,r2.0.0,s4,No Regression,0,2026-08-08 17:11:38,0.22485297871812734,0.0,0.16301540075777013,30.207695329800934
SELECT COUNT(*) FROM shipments WHERE is_deleted = false,f260f71f33594e449c97ede06c87c55b,99.28,66.71,11842.2,869,81.09,2136,v1.0,r1.2.0,s2,No Regression,0,2026-08-08 17:16:38,-5.489976651115051,0.0,-3.9801596093339686,256.6051702099383
SELECT * FROM inventory WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,c2f3e96191624c439bfc261448f7fd74,116.44,101.34,10329.14,985,104.18,1625,v1.1,r2.0.0,s1,No Regression,0,2026-08-08 17:21:38,-1.6294371515052135,0.0,-1.181320130943,223.81911535206987
SELECT * FROM products WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,c9236f91674548778c6ed056a270366a,50.92,28.7,3084.73,489,55.02,1237,v1.0,r2.0.0,s2,No Regression,0,2026-08-08 17:26:38,2.9858445210673743,0.0,2.1646973234557825,66.84211267346464
"SELECT id, status, created_at FROM payments WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",a089debae13141ceb6d4b373f4f94354,10.71,8.19,2537.36,74,10.28,156,v1.0,r1.2.0,s3,No Regression,0,2026-08-08 17:31:38,0.3816070411291823,0.0,0.27665999844121886,54.98131214503125
SELECT COUNT(*) FROM orders WHERE is_deleted = false,cc8113186d9d45e5bcb17c82afed5595,41.92,23.95,4606.2,545,49.67,1123,v1.0,r2.0.0,s3,No Regression,0,2026-08-08 17:36:38,-4.052458872661164,0.0,-2.9379784557329653,99.81040136300837
"SELECT customer_id, SUM(total_amount) FROM products GROUP BY customer_id HAVING SUM(total_amount) > 1000",b5b7b48d96894087ade5c680e6d9815e,133.18,64.15,9697.53,1025,115.48,1031,v1.1,r1.2.0,s4,Minor,1,2026-08-08 17:41:38,52.34562311859601,0.7044030756344205,37.94987631135702,1492.8451146674288
"SELECT customer_id, SUM(total_amount) FROM employees GROUP BY customer_id HAVING SUM(total_amount) > 1000",711e7a4440254ae3b07b754bfb722f60,50.97,39.08,6111.89,464,47.43,1758,v1.1,r1.1.0,s4,No Regression,0,2026-08-08 17:46:38,0.4734251498890269,0.0,0.34322689865146677,132.43675784519934
SELECT * FROM customers WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,9b62b5c88d35408589729f7302495cf0,74.76,53.76,7790.48,726,59.82,1559,v2.0,r1.2.0,s4,No Regression,0,2026-08-08 17:51:38,-2.6110956853483853,0.0,-1.8930094321656246,168.80963388704126
SELECT COUNT(*) FROM customers WHERE is_deleted = false,5235aeed19b74ed099cff975e8ee5ae3,10.59,6.5,1291.32,100,11.29,347,v1.0,r1.1.0,s3,No Regression,0,2026-08-08 17:56:38,-0.7198489850271267,0.0,-0.5218808816687951,27.98123561462376
"SELECT t1.id, t2.name FROM inventory t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",43962d2afe534e5882035fb74cfb3185,9.53,6.5,-425.34,78,11.0,257,v2.0,r2.0.0,s4,No Regression,0,2026-08-08 18:01:38,0.3452129616499328,0.0,0.25027477781686913,-9.216568128987447
"SELECT customer_id, SUM(total_amount) FROM employees GROUP BY customer_id HAVING SUM(total_amount) > 1000",c3d29fa0f46b444c86bf3420e81c518b,93.15,53.13,9418.47,991,110.21,3044,v1.0,r1.1.0,s1,No Regression,0,2026-08-08 18:06:38,4.30472311407464,0.0,3.1208666551480317,204.08607331975455
"SELECT t1.id, t2.name FROM employees t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",c9762585f1354f4790424894f8fbdaed,86.46,64.42,10123.45,808,94.05,2439,v2.0,r1.1.0,s4,No Regression,0,2026-08-08 18:11:38,-5.718556234036875,0.0,-4.145876748272813,219.36207886725438
SELECT * FROM customers WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,a8113eafed314cbbb2bb3a4c0c24efd8,105.15,64.13,10163.77,904,87.38,1937,v1.2,r1.2.0,s3,No Regression,0,2026-08-08 18:16:38,-1.7885601396759498,0.0,-1.296682168103041,220.23576116132682
"SELECT t1.id, t2.name FROM employees t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",888e51dd483249a0b13835c3981376ab,99.47,52.29,10301.68,1123,95.79,3560,v2.0,r1.0.0,s2,No Regression,0,2026-08-08 18:21:38,-6.27324559600697,0.0,-4.5480191132666965,223.22409263889455
"SELECT t1.id, t2.name FROM payments t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",d491ea985b4d4eda827ebb5d17378710,76.92,38.64,8500.78,798,72.36,3203,v2.0,r1.1.0,s4,No Regression,0,2026-08-08 18:26:38,2.9246487404124153,0.0,2.1203312013566915,184.20091695945342
"SELECT customer_id, SUM(total_amount) FROM customers GROUP BY customer_id HAVING SUM(total_amount) > 1000",a7049605b93c495bb9a84878fe9651a1,93.05,64.08,11410.25,1037,89.49,5105,v1.0,r2.0.0,s1,Minor,1,2026-08-08 18:31:38,51.23908615462038,0.6813993535983358,37.147651819317275,1756.502528956758
SELECT * FROM orders WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,f106877fb4514e3bb26746c1fa0f53a6,115.82,78.98,9308.79,1070,108.29,4834,v1.2,r2.0.0,s3,No Regression,0,2026-08-08 18:36:38,11.103308248568684,0.0,8.049749904120608,201.7094494602837
SELECT * FROM customers WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,058f7f5021e14dcfb868dfe5a21f41ee,7.2,5.85,1624.94,209,7.63,839,v1.1,r1.1.0,s1,No Regression,0,2026-08-08 18:41:38,0.11993955334020782,0.0,0.08695457123106223,35.21034987425792
SELECT * FROM products WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,68275fc23e9d45119ec9313fa8e00702,64.15,50.02,7612.11,804,71.0,1343,v1.0,r1.1.0,s3,No Regression,0,2026-08-08 18:46:38,0.6899175453887421,0.0,0.5001809884509033,164.94458649632443
"SELECT customer_id, SUM(total_amount) FROM products GROUP BY customer_id HAVING SUM(total_amount) > 1000",15daf1e7ae474187b6ef9b591e4df841,8.99,6.63,-563.88,103,10.18,203,v1.2,r1.0.0,s1,No Regression,0,2026-08-08 18:51:38,0.08890754576630948,0.0,0.06445678098689248,-12.21855089240006
"SELECT t1.id, t2.name FROM products t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",32e37184e52f474cb835f516794eba5f,7.88,6.61,1508.96,54,8.89,76,v1.2,r2.0.0,s2,No Regression,0,2026-08-08 18:56:38,-0.7014951540594224,0.0,-0.5085745998143245,32.69721315633822
"SELECT t1.id, t2.name FROM shipments t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",e6dc5daa527d45d89b5e3598ced98371,104.8,70.66,7389.95,783,114.48,1623,v1.1,r1.0.0,s3,No Regression,0,2026-08-08 19:01:38,2.8802419897835563,0.0,2.0881369013683933,160.1306663958499
SELECT * FROM employees WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,6de774541a554e7c87fa3892a9c70ab5,58.14,29.73,3859.59,511,66.3,882,v1.1,r1.2.0,s3,No Regression,0,2026-08-08 19:06:38,-2.942222524129862,0.0,-2.133071959392729,83.63232751436183
SELECT * FROM orders WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,dba3933c490f497ea28d161ca18f1684,12.61,7.52,-622.06,109,12.14,351,v1.1,r2.0.0,s4,No Regression,0,2026-08-08 19:11:38,0.12456021576790516,0.0,0.09030448966092526,-13.479236305821063
SELECT * FROM products WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,c6cc9765437647d482ecb3ec71f0db3a,52.6,40.27,5920.59,438,49.84,1407,v1.2,r2.0.0,s3,No Regression,0,2026-08-08 19:16:38,3.638261150194103,0.0,2.6376906494256867,128.29153406404708
"SELECT customer_id, SUM(total_amount) FROM shipments GROUP BY customer_id HAVING SUM(total_amount) > 1000",c2687a4165e245c7896c1b5c80de9c19,36.8,20.16,5654.47,514,37.32,2081,v1.1,r1.1.0,s2,No Regression,0,2026-08-08 19:21:38,-0.5911285350687391,0.0,-0.42856027788888446,122.52505757350744
"SELECT t1.id, t2.name FROM employees t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",1a4e17c7c5b54f3e87d7284efb48b502,10.5,8.75,1378.76,65,9.65,158,v1.2,r1.0.0,s2,No Regression,0,2026-08-08 19:26:38,0.277649506214239,0.0,0.2012921767091639,29.875947415062615
"SELECT t1.id, t2.name FROM orders t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",c23c042ad14149ee9e6d16bf5147cd0b,10.46,8.89,1324.11,64,10.77,184,v2.0,r1.2.0,s2,No Regression,0,2026-08-08 19:31:38,-0.1790347500252777,0.0,-0.12979779806041303,28.69175253978833
SELECT COUNT(*) FROM shipments WHERE category_id = 5,3bc8b34a4f8e490483011c8770e2b863,109.85,58.18,8677.2,740,115.54,898,v1.1,r1.2.0,s1,No Regression,0,2026-08-08 19:36:38,10.171162420313482,0.0,7.373956651907602,188.02371037017417
SELECT * FROM shipments WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,ea4544733c62426a96996a39c6bcd722,113.13,91.67,9241.93,1039,107.72,4814,v1.2,r2.0.0,s3,No Regression,0,2026-08-08 19:41:38,8.365675967700408,0.0,6.065003133420292,200.26067966411097
"SELECT customer_id, SUM(total_amount) FROM payments GROUP BY customer_id HAVING SUM(total_amount) > 1000",9cb36168fe324bf280419c1f26d5645d,61.59,47.06,4279.62,548,53.14,928,v1.0,r1.1.0,s1,No Regression,0,2026-08-08 19:46:38,2.256672999733772,0.0,1.6360577277119377,92.73383480551384
"SELECT id, status, created_at FROM customers WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",9c99d1a48e68463eb663a51c54d7d372,54.13,42.28,5961.79,594,53.13,2227,v1.2,r1.1.0,s4,No Regression,0,2026-08-08 19:51:38,-4.957140521622184,0.0,-3.5938605454626114,129.184284820887
"SELECT t1.id, t2.name FROM products t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",3021d844b01442e789e0f70cf9d90957,9.51,5.39,252.17,55,8.78,219,v1.2,r2.0.0,s1,No Regression,0,2026-08-08 19:56:38,-0.1447772758005372,0.0,-0.10496158765514327,5.464198018260132
"SELECT customer_id, SUM(total_amount) FROM shipments GROUP BY customer_id HAVING SUM(total_amount) > 1000",2514e8ef2c81477bb19a2634f4c7e7c8,86.65,35.63,8113.05,817,54.63,2228,v1.2,r1.2.0,s1,Minor,1,2026-08-08 20:01:38,65.33657985909471,0.8127725277760034,47.36814611303932,1248.9290631276813
"SELECT customer_id, SUM(total_amount) FROM inventory GROUP BY customer_id HAVING SUM(total_amount) > 1000",c2cee83d782843a7b426449831d06556,10.55,8.5,1871.04,100,9.18,307,v2.0,r1.2.0,s2,No Regression,0,2026-08-08 20:06:38,0.7959985366551467,0.0,0.5770882876232774,40.543018836837994
"SELECT id, status, created_at FROM payments WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",4b4263aff6524799a3905228d6bf5587,103.26,65.39,7920.99,936,110.28,4147,v1.2,r2.0.0,s4,No Regression,0,2026-08-08 20:11:38,-1.6541031886636224,0.0,-1.1992026778205518,171.63761692770086
SELECT * FROM inventory WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,3f3762b43008492890189cbee1434342,69.07,33.81,4242.27,446,47.61,1824,v1.0,r2.0.0,s4,Minor,1,2026-08-08 20:16:38,48.037569815281955,0.561433101125547,34.8265953135725,653.0582575769494
SELECT COUNT(*) FROM customers WHERE is_deleted = false,30621d5c85b04a4ea1bc5e0e5a2a86c2,54.82,39.46,4891.17,535,64.2,1472,v2.0,r1.0.0,s1,No Regression,0,2026-08-08 20:21:38,0.8948811130063193,0.0,0.6487768323058641,105.98533299350997
"SELECT customer_id, SUM(total_amount) FROM employees GROUP BY customer_id HAVING SUM(total_amount) > 1000",50c8b567ecd64b0f86afbf9cfa4703aa,10.95,7.89,949.42,57,9.17,283,v1.0,r2.0.0,s1,No Regression,0,2026-08-08 20:26:38,0.8243500714680153,0.0,0.5976427709837642,20.57270445531401
"SELECT t1.id, t2.name FROM inventory t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",3b696aad115a4d969522486fb127f349,55.76,46.5,7734.77,842,66.47,1662,v1.1,r2.0.0,s2,No Regression,0,2026-08-08 20:31:38,4.402488011962272,0.0,3.1917448979004814,167.60247018161527
SELECT COUNT(*) FROM products WHERE category_id = 5,34da13a568c84d4ebf419f7a945d97b9,52.14,45.56,3844.36,508,52.3,2175,v1.2,r1.2.0,s4,No Regression,0,2026-08-08 20:36:38,-3.1863684148549356,0.0,-2.3100744631923464,83.30231309623873
"SELECT t1.id, t2.name FROM employees t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",5d050796eaea4f0abb6ef996ff2461d3,86.17,58.78,7286.93,807,80.02,1415,v1.1,r2.0.0,s2,No Regression,0,2026-08-08 20:41:38,3.515231156779447,0.0,2.5484955504945863,157.89835612959632
"SELECT id, status, created_at FROM shipments WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",af39a81a16b449cebd5ed9fb969a75f8,80.93,72.46,7021.6,817,90.4,2947,v1.1,r2.0.0,s1,No Regression,0,2026-08-08 20:46:38,3.1777098848242806,0.0,2.303797144782036,152.148997918132
"SELECT id, status, created_at FROM products WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",dbe8dcfa15cf4bd99172664e4ac4d736,88.97,45.03,9301.04,852,76.31,3820,v1.1,r1.0.0,s4,No Regression,0,2026-08-08 20:51:38,7.491030947718917,0.0,5.4308971977733025,201.54151697568395
"SELECT id, status, created_at FROM customers WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",2e96a22d1dbc408699468d0d4a59440c,36.22,30.46,4159.67,525,41.43,1323,v1.2,r2.0.0,s1,No Regression,0,2026-08-08 20:56:38,0.19837092154898356,0.0,0.14381626367304481,90.1346733180637
"SELECT customer_id, SUM(total_amount) FROM products GROUP BY customer_id HAVING SUM(total_amount) > 1000",d4ade65e5e4a446bb60e9ac4257a1412,88.22,78.63,8719.41,992,97.41,3785,v1.0,r2.0.0,s2,No Regression,0,2026-08-08 21:01:38,7.175578849499862,0.0,5.202198647706405,188.93834652178126
SELECT * FROM employees WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,9186f41a763b4a259a2d72aec418308a,71.34,37.45,6282.82,547,50.01,1448,v1.1,r1.1.0,s2,Minor,1,2026-08-08 21:06:38,49.58194196550747,0.5762859568916818,35.94624445686336,967.1820704173964
"SELECT t1.id, t2.name FROM payments t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",9c6da8adcf444435bd0e32b6d5d9db18,116.81,68.28,7869.16,837,88.96,3069,v2.0,r1.2.0,s2,Minor,1,2026-08-08 21:11:38,25.11385559185507,0.856752426283481,18.207209249431983,1211.384451766207
"SELECT customer_id, SUM(total_amount) FROM orders GROUP BY customer_id HAVING SUM(total_amount) > 1000",ada65d7a03524cd781f17c827a47b7bb,42.27,24.5,4877.5,475,40.32,1393,v1.1,r2.0.0,s3,No Regression,0,2026-08-08 21:16:38,3.388828458399347,0.0,2.4568552855945316,105.68912175938372
SELECT * FROM shipments WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,20f3ef6c749045e88340c773bbb0f6f2,10.16,7.38,3394.21,6,10.92,23,v1.0,r2.0.0,s3,No Regression,0,2026-08-08 21:21:38,-0.7346327389285623,0.0,-0.532598905422298,73.54814432945523
"SELECT id, status, created_at FROM payments WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",9ded9093ee3d4c3a94779a6fd356660c,56.86,43.85,3468.58,476,61.89,1731,v1.1,r1.0.0,s1,No Regression,0,2026-08-08 21:26:38,-3.150178024389036,0.0,-2.2838369143770625,75.15964612038199
"SELECT id, status, created_at FROM inventory WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",23525ac08631413589e474be3167321b,60.89,38.4,5185.82,446,58.83,804,v1.2,r1.2.0,s2,No Regression,0,2026-08-08 21:31:38,1.982777566101189,0.0,1.4374872033903083,112.37001771445357
"SELECT customer_id, SUM(total_amount) FROM shipments GROUP BY customer_id HAVING SUM(total_amount) > 1000",d53eba9fdb224fefb5c251a0d5467236,68.56,60.68,8887.91,763,58.7,3712,v2.0,r1.2.0,s1,No Regression,0,2026-08-08 21:36:38,2.886229318897519,0.0,2.0924776348580965,192.58952376759493
"SELECT t1.id, t2.name FROM customers t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",0ccaec11813c4124b153f9a7b4a20fc8,83.46,69.19,8238.67,767,98.16,1099,v1.1,r2.0.0,s1,No Regression,0,2026-08-08 21:41:38,0.6232322346284461,0.0,0.45183503048219215,178.52133198675182
SELECT COUNT(*) FROM payments WHERE is_deleted = false,eafbdaf17bab435090c0c20cc587fddf,71.44,54.27,5769.13,398,60.49,470,v1.0,r1.2.0,s4,No Regression,0,2026-08-08 21:46:38,4.606476612312422,0.0,3.3396339035328335,125.00959159727596
"SELECT t1.id, t2.name FROM products t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",a4ae9c2f94034b548290d4ed72032136,82.98,60.99,7514.33,842,90.5,3824,v1.0,r2.0.0,s4,No Regression,0,2026-08-08 21:51:38,5.526060889237898,0.0,4.00632019912099,162.825820258368
SELECT * FROM inventory WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,71012b0b20d649819d66326d1cb85746,84.15,70.87,10122.51,1025,70.66,3836,v1.2,r1.0.0,s4,No Regression,0,2026-08-08 21:56:38,6.716908335809674,0.0,4.86966866286369,219.3417102820255
SELECT COUNT(*) FROM inventory WHERE status = 1,3f5268a5d06940c5bc61c61159614caa,11.73,6.1,-205.1,83,10.95,411,v1.1,r1.0.0,s2,No Regression,0,2026-08-08 22:01:38,-0.1847312803840947,0.0,-0.13392770634388507,-4.444251947278238
SELECT COUNT(*) FROM inventory WHERE status = 1,a34b10acc6284c8a854c01a9711d8d0f,9.05,5.53,354.99,188,10.8,930,v1.2,r1.1.0,s1,No Regression,0,2026-08-08 22:06:38,0.6429124575682587,0.0,0.46610292876766485,7.6921745429756285
SELECT COUNT(*) FROM orders WHERE is_deleted = false,83388ec876fc42fc8dbb7a82dc9bde90,54.05,27.37,3828.85,545,48.98,821,v2.0,r1.0.0,s1,No Regression,0,2026-08-08 22:11:38,1.0299786755924865,0.0,0.7467207574072063,82.96623143996236
"SELECT t1.id, t2.name FROM orders t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",60c1e2f018fb42c89d6aecd82cfc7862,174.04,125.09,11297.24,924,116.43,3818,v1.2,r2.0.0,s1,Minor,1,2026-08-08 22:16:38,106.6481525044703,0.7617952915133435,77.31848348064794,1739.1056839448254
"SELECT t1.id, t2.name FROM payments t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",2353321ff75249ae8cd17f1cc605d691,9.03,7.76,2321.32,64,8.39,101,v1.1,r1.2.0,s3,No Regression,0,2026-08-08 22:21:38,-0.731278430138424,0.0,-0.5301670764342766,50.30000453562125
"SELECT id, status, created_at FROM payments WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",8c1deaeb97ae4beea27bab1584acda2d,10.89,8.9,1817.23,53,9.21,191,v1.1,r2.0.0,s4,No Regression,0,2026-08-08 22:26:38,0.8264599475951359,0.0,0.5991724029431564,39.37702567602356
SELECT COUNT(*) FROM products WHERE status = 1,50347432b2ea4148bf1e973f62444819,57.45,33.14,1800.94,448,52.67,1118,v1.1,r2.0.0,s1,Minor,1,2026-08-08 22:31:38,20.990581957199627,0.6038245342889179,15.217891038842868,277.23806792133246
SELECT COUNT(*) FROM orders WHERE is_deleted = false,75809b089a254457b05f999f1df80f7f,9.49,6.97,-253.73,181,9.73,419,v1.0,r2.0.0,s3,No Regression,0,2026-08-08 22:36:38,-0.368657769827842,0.0,-0.2672719500251233,-5.498001202256982
